,frame,x_0,y_0,x_1,y_1,serving_label,name_1_label,name_2_label,score_1_label,score_2_label,name_1_label_polished,name_2_label_polished
13,13,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
14,14,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
15,15,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
16,16,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
17,17,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
18,18,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
19,19,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
20,20,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
21,21,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
22,22,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
23,23,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
24,24,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
25,25,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
26,26,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
27,27,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
28,28,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
29,29,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
30,30,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
31,31,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
32,32,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
33,33,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
34,34,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
35,35,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
36,36,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
37,37,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
38,38,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
39,39,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
40,40,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
41,41,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
42,42,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
43,43,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
44,44,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
45,45,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
46,46,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
47,47,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
48,48,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
49,49,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
50,50,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
51,51,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
52,52,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
53,53,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
54,54,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
55,55,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
56,56,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
57,57,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
58,58,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
59,59,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
60,60,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
61,61,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
62,62,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
63,63,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
64,64,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
65,65,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
66,66,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
67,67,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
68,68,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
69,69,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
70,70,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
71,71,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
72,72,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
73,73,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
74,74,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
75,75,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
76,76,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
77,77,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
78,78,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
79,79,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
80,80,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
81,81,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
82,82,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
83,83,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
84,84,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
85,85,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
86,86,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
87,87,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
88,88,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
89,89,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
90,90,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
91,91,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
92,92,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
93,93,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
94,94,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
95,95,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
96,96,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
97,97,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
98,98,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
99,99,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
100,100,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
101,101,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
102,102,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
103,103,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
104,104,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
105,105,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
106,106,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
107,107,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
108,108,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
109,109,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
110,110,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
111,111,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
112,112,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
113,113,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
114,114,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
115,115,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
116,116,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
117,117,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
118,118,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
119,119,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
120,120,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
121,121,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
122,122,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
123,123,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
124,124,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
125,125,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
126,126,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
127,127,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
128,128,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
129,129,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
130,130,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
131,131,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
132,132,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
133,133,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
134,134,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
135,135,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
136,136,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
137,137,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
138,138,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
139,139,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
140,140,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
141,141,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
142,142,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
143,143,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
144,144,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
145,145,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
146,146,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
147,147,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
148,148,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
149,149,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
150,150,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
151,151,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
152,152,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
153,153,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
154,154,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
155,155,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
156,156,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
157,157,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
158,158,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
159,159,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
160,160,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
161,161,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
162,162,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
163,163,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
164,164,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
165,165,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
166,166,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
167,167,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
168,168,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
169,169,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
170,170,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
171,171,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
172,172,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
173,173,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
174,174,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
175,175,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
176,176,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
177,177,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
178,178,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
179,179,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
180,180,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
181,181,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
182,182,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
183,183,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
184,184,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
185,185,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
186,186,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,G. Monfils,H. Zeballos
