frame_1,x_0,y_0,x_1,y_1,serving_label,name_1_label,name_2_label,score_1_label,score_2_label,frame_2,serving_pred,name_1_pred,name_2_pred,score_1_pred,score_2_pred
41,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,41,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
42,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,42,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
43,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,43,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
44,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,44,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
45,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,45,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
46,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,46,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
47,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,47,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
48,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,48,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
49,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,49,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
50,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,50,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
51,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,51,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
52,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,52,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
53,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,53,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
54,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,54,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
55,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,55,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
56,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,56,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
57,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,57,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
58,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,58,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
59,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,59,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
60,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,60,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
61,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,61,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
62,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,62,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
63,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,63,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
64,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,64,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
65,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,65,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
66,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,66,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
67,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,67,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
68,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,68,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
69,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,69,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
70,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,70,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
71,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,71,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
72,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,72,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
73,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,73,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
74,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,74,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
75,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,75,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
76,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,76,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
77,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,77,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
78,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,78,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
79,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,79,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
80,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,80,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
81,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,81,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
82,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,82,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
83,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,83,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
84,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,84,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
85,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,85,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
86,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,86,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
87,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,87,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
88,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,88,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
89,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,89,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
90,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,90,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
91,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,91,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
92,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,92,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
93,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,93,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
94,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,94,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
95,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,95,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
96,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,96,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
97,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,97,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
98,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,98,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
99,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,99,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
100,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,100,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
101,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,101,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
102,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,102,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
103,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,103,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
104,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,104,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
105,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,105,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
106,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,106,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
107,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,107,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
108,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,108,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
109,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,109,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
110,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,110,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
111,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,111,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
112,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,112,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
113,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,113,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
114,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,114,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
115,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,115,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
116,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,116,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
117,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,117,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
118,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,118,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
119,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,119,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
120,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,120,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
121,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,121,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
122,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,122,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
123,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,123,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
124,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,124,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
125,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,125,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
126,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,126,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
127,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,127,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
128,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,128,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
129,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,129,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
130,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,130,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
131,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,131,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
132,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,132,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
133,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,133,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
134,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,134,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
135,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,135,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
136,194.95,905.89,641.27,997.12,name_2,G. MONFILS,H. ZEBALLOS,0-3-6-1,15-6-3-1,136,name_2,G. MONFILS o,H.ZEBALLOS,3-6-4-1,1-5-6-3-1
